,latency,sample_num,time
0,0,0,2.4255595207214355
1,0,1,2.261324882507324
2,0,2,2.1776466369628906
3,0,3,2.087961196899414
4,0,4,2.3307087421417236
5,0,5,2.1901707649230957
6,0,6,2.0844945907592773
7,0,7,2.313255548477173
8,0,8,2.1987173557281494
9,0,9,2.2241501808166504
10,1000,0,2.455214023590088
11,1000,1,2.365729570388794
12,1000,2,2.1890807151794434
13,1000,3,1.9983036518096924
14,1000,4,2.2031121253967285
15,1000,5,2.704345464706421
16,1000,6,2.366863965988159
17,1000,7,2.2045388221740723
18,1000,8,2.413637161254883
19,1000,9,2.4003450870513916
20,10000,0,2.5868961811065674
21,10000,1,2.4832518100738525
22,10000,2,2.1266493797302246
23,10000,3,2.207674980163574
24,10000,4,2.6850740909576416
25,10000,5,2.3312883377075195
26,10000,6,2.4514033794403076
27,10000,7,2.394728183746338
28,10000,8,2.5424954891204834
29,10000,9,2.45647931098938
30,100000,0,3.2482988834381104
31,100000,1,2.761220693588257
32,100000,2,3.075129270553589
33,100000,3,2.8609275817871094
34,100000,4,3.218641519546509
35,100000,5,3.3268113136291504
36,100000,6,2.9356765747070312
37,100000,7,3.4594929218292236
38,100000,8,2.747655153274536
39,100000,9,3.145221710205078
40,1000000,0,12.331583976745605
41,1000000,1,12.318917989730835
42,1000000,2,12.31714129447937
43,1000000,3,12.349524021148682
44,1000000,4,12.210129499435425
45,1000000,5,12.330176830291748
46,1000000,6,12.176527500152588
47,1000000,7,12.377861261367798
48,1000000,8,12.413056135177612
49,1000000,9,12.159740686416626
50,10000000,0,86.89983654022217
51,10000000,1,86.78221845626831
52,10000000,2,86.10935020446777
53,10000000,3,86.2593321800232
54,10000000,4,86.24439883232117
55,10000000,5,87.01719999313354
56,10000000,6,86.17532801628113
57,10000000,7,86.83382105827332
58,10000000,8,86.60899925231934
59,10000000,9,86.21627497673035
