,latency,sample_num,time
0,0,0,13.95497751235962
1,0,1,13.877006769180298
2,0,2,13.86143445968628
3,0,3,13.355544567108154
4,0,4,14.192055940628052
5,0,5,13.654881954193115
6,0,6,14.243520498275757
7,0,7,14.031826972961426
8,0,8,14.254225254058838
9,0,9,13.44322943687439
10,1000,0,13.2264564037323
11,1000,1,14.489179611206055
12,1000,2,13.95232105255127
13,1000,3,13.965134620666504
14,1000,4,14.543665409088135
15,1000,5,14.209424257278442
16,1000,6,13.829851388931274
17,1000,7,13.516722917556763
18,1000,8,13.219283819198608
19,1000,9,14.067939281463623
20,10000,0,14.372710943222046
21,10000,1,13.887208938598633
22,10000,2,13.55748438835144
23,10000,3,14.456420183181763
24,10000,4,14.462232112884521
25,10000,5,14.870192766189575
26,10000,6,13.653002500534058
27,10000,7,13.811747312545776
28,10000,8,14.017794370651245
29,10000,9,14.330842971801758
30,100000,0,13.904357194900513
31,100000,1,13.860993146896362
32,100000,2,14.116950035095215
33,100000,3,14.290548086166382
34,100000,4,13.545160055160522
35,100000,5,13.824902296066284
36,100000,6,14.218411207199097
37,100000,7,14.427029371261597
38,100000,8,13.89923644065857
39,100000,9,14.102517127990723
40,1000000,0,14.455310106277466
41,1000000,1,13.792414426803589
42,1000000,2,13.843170881271362
43,1000000,3,14.483595848083496
44,1000000,4,14.035024166107178
45,1000000,5,14.593994140625
46,1000000,6,13.847018718719482
47,1000000,7,13.744917631149292
48,1000000,8,14.362048387527466
49,1000000,9,14.037410259246826
50,10000000,0,14.463887453079224
51,10000000,1,15.218161344528198
52,10000000,2,13.744839429855347
53,10000000,3,14.45509958267212
54,10000000,4,14.16933822631836
55,10000000,5,14.53844690322876
56,10000000,6,14.81200909614563
57,10000000,7,14.050143241882324
58,10000000,8,14.198390483856201
59,10000000,9,13.471757411956787
